Medicine ID,Name,Company Name,MRP,PTR/SP,Offer,Category
2,A TO Z (DROP) 1*10,ALKEM LABORATORIES LTD,80,54.24,No Offer Available,General
3,A TO Z (SYRUP) 1*200M,ALKEM LABORATORIES LTD,190,107.67,5+1,General
4,A TO Z (TAB) 1*15,ALKEM LABORATORIES LTD,175,118.64,No Offer Available,General
5,A TO Z GOLD 2X15,ALKEM LABORATORIES LTD,225,152.54,No Offer Available,General
6,ABDOMINAL BELT XXL 1,GENREL,750,0,No Offer Available,General
7,ABHAY TOX 0.5ML INJ 1X120,HUMAN BIOLOGICALS INSTITUTE,13.08,9.1,No Offer Available,General
8,ABHAYRAB VIAL 1PCS,HUMAN BIOLOGICALS INSTITUTE,397.62,301,No Offer Available,General
9,ABHAYRAB-PF VIAL 1X1,HUMAN BIOLOGICALS INSTITUTE,397.62,224.76,No Offer Available,General
10,ABZORB DUSTING POWDER (60GM) 1PCS,SUN PHARMA DISTRIBUTORS LTD (SPDL),90,45.53,No Offer Available,General
11,ABZORB DUSTING POWDER 120GM 1PCS,SUN PHARMA DISTRIBUTORS LTD (SPDL),160,83.78,No Offer Available,General
12,ACERA D 1X10,IPCA LAB.,143.2,0,No Offer Available,General
13,ACILOC 300MG TAB 30X20,CADILA,54.8,39.14,No Offer Available,General
14,ACILOC RD 24X15,CADILA,84.3,60.21,No Offer Available,General
15,ACIVIR 200 DT TAB 1X50,CIPLA LTD,4261.5,2739.5,No Offer Available,General
16,ACIVIR 400 DT [BIG] 10X50STRIP,CIPLA LTD,3824.5,2458.5,No Offer Available,General
17,ACIVIR 400 DT TAB 5X50STRIP,CIPLA LTD,3824.5,2458.5,No Offer Available,General
18,ACIVIR 800 DT TAB 1X10,CIPLA LTD,2108.9,1355.7,No Offer Available,General
19,ACIVIR CREAM 10GM,CIPLA LTD,161.05,103.53,No Offer Available,General
20,ACNE-AID BAR 100G.  1PCS,GLAXOSMITHKLINE PHARMACEUTICALS LTD,133.35,81.37,No Offer Available,General
21,ADVENT 150MG INJ 1 VIAL,CIPLA LTD,67.34,38.01,No Offer Available,General
